,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
2403,Cruciata,coronata,var.,syriaca,Ehrendorfer 
2405,Cruciata,pedemontana,,,(Bell.) Ehrendorfer 
2408,Crupina,,,,(Pers.) DC. 
2411,Crupina,crupinastrum,,,(Moris) Vis. 
2417,Cucumis,,,,L. 
2419,Cucumis,prophetarum,,,L. 
2421,Cuscuta,,,,L. 
2423,Cuscuta,approximata,,,Bab. 
2426,Cuscuta,approximata,var.,approximata ,
2428,Cuscuta,approximata,var.,schiraziana,(Boiss.) Yuncker 
2432,Cuscuta,approximata,var.,urceolata,Yuncker 
2436,Cuscuta,babylonica,,,Auch. ex Choisy 
2440,Cuscuta,balansae,,,Boiss. et Reut. ex Yuncker 
2446,Cuscuta,brevistyla,,,A.Braun. ex A. Rich. 
2451,Cuscuta,campestris,,,Yuncker 
2459,Cuscuta,epithymum,,,(L.) L. 
2463,Cuscuta,epithymum,var.,alba,(C.Presl.) Trabut 
2467,Cuscuta,epithymum,var.,rubella,(Engelm.) Trabut 
2470,Cuscuta,europaea,,,L. 
2473,Cuscuta,europaea,var.,indica,Engelm. 
2481,Cuscuta,kotschyana,,,Boiss. 
2483,Cuscuta,monogyna,,,Vahl  
2486,Cuscuta,palaestina,,,Boiss. 
2489,Cuscuta,palaestina,var.,syriana,Yuncker 
2491,Cuscuta,pedicellata,,,Ledeb. 
2493,Cuscuta,planiflora,,,Ten. 
2503,Cyclamen,,,,L. 
2505,Cyclamen,coum,,,Mill. 
2509,Cyclamen,libanoticum,,,Hildebr. 
2511,Cyclamen,persicum,,,Mill. 
2513,Cymbolaena,,,,Smolj.
2515,Cymbolaena,griffithii,,,(A.Gray) Wagenitz
2522,Cynanchum,,,,L.
2524,Cynanchum,acutum,,,L.
2532,Cynara,,,,L.
2538,Cynara,syriaca,,,Boiss.
2540,Cynoglossum,,,,L.
2542,Cynoglossum,creticum,,,Mill.
2554,Cynoglossum,nebrodense,,,Guss.
2561,Datura,,,,L.
2563,Datura,metel,,,L.
2565,Datura,stramonium,,,L.
2572,Digitalis,,,,L.
2574,Digitalis,ferruginea,,,L.
2583,Dipsacus,,,,L.
2585,Dipsacus,fullonum,,,L.
2588,Dipsacus,fullonum,var.,comosus,Ledeb.
2594,Dipsacus,laciniatus,,,L.
2596,Dipsacus,sativus,,,(L.) Honckeny
2601,Dipterocome,,,,Fisch. et Mey.
2605,Dipterocome,pusilla,,,Fisch. et Mey.
2618,Doronicum,,,,L.
2622,Doronicum,orientale,,,Hoffm.
2643,Ecballium,,,,A. Rich.
2646,Ecballium,elaterium,,,(L.) A. Rich.
2650,Echinops,,,,L.
2652,Echinops,adenocaulos,,,Boiss.
2659,Echinops,descendens,,,Hand.-Mazz.
2661,Echinops,gaillardotii,,,Boiss.
2663,Echinops,polyceras,,,Boiss.
2665,Echinops,viscosus,,,DC.
2668,Echinops,viscosus,var.,macrolepis,Boiss.
2697,Echium,,,,L.
2701,Echium,angustifolium,,,Mill.
2713,Echium,glomeratum,,,Poir.
2715,Echium,italicum,,,L.
2717,Echium,judaeum,,,Lacaita
2721,Echium,pabotii,,,Moût.
2725,Echium,plantagineum,,,L.
2727,Echium,setosum,,,Vahl
2729,Eclipta,,,,L.
2737,Eclipta,prostrata,,,(L.) L.
2747,Eremostachys,,,,Bunge
2749,Eremostachys,laciniata,,,(L.) Bunge
2752,Eremostachys,macrophylla,,,Montb. et Auch.
2756,Erica,,,,L.
2758,Erica,manipuliflora,,,Salisb.
2766,Engeron,,,,L.
2777,Engeron,bonariensis,,,L.
2779,Engeron,canadense,,,L.
2787,Engeron,libanoticus,,,Vierh.
2791,Engeron,naudinii,,,(Bonnet) Humbert
2794,Engeron,viscosum,,,(L.) Aiton
2832,Eupatorium,,,,L.
2834,Eupatorium,adenophorum,,,Sprengel
2836,Eupatorium,cannabinum,,,L.
2839,Eupatorium,cannabinum,var.,indivisum,DC.
2842,Eupatorium,cannabinum,var.,syriacum,(Jacq.) Boiss.
2897,Filago,,,,L.
2899,Filago,anatolica,,,(Boiss. et Heldr.) Chrtek et
2905,Filago,Holub,,,NOUVELLE
