,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
2397,Cuscuta,epithymum,var.,rubella,(Engelm.) Trabut 
2400,Cuscuta,europaea,,,L. 
2403,Cuscuta,europaea,var.,indica,Engelm. 
2411,Cuscuta,kotschyana,,,Boiss. 
2413,Cuscuta,monogyna,,,Vahl
2415,Cuscuta,palaestina,,,Boiss. 
2418,Cuscuta,palaestina,var.,syriana,Yuncker 
2420,Cuscuta,pedicellata,,,Ledeb. 
2422,Cuscuta,planiflora,,,Ten. 
2431,Cyclamen,,,,L. 
2433,Cyclamen,coum,,,Mill. 
2437,Cyclamen,libanoticum,,,Hildebr. 
2439,Cyclamen,persicum,,,Mill. 
2441,Cymbolaena,,,,Smolj.
2443,Cymbolaena,griffithii,,,(A.Gray) Wagenitz
2450,Cynanchum,,,,L.
2452,Cynanchum,acutum,,,L.
2460,Cynara,,,,L.
2466,Cynara,syriaca,,,Boiss.
2468,Cynoglossum,,,,L.
2470,Cynoglossum,creticum,,,Mill.
2482,Cynoglossum,nebrodense,,,Guss.
2489,Datura,,,,L.
2491,Datura,metel,,,L.
2493,Datura,stramonium,,,L.
2500,Digitalis,,,,L.
2502,Digitalis,ferruginea,,,L.
2511,Dipsacus,,,,L.
2513,Dipsacus,fullonum,,,L.
2516,Dipsacus,fullonum,var.,comosus,Ledeb.
2522,Dipsacus,laciniatus,,,L.
2524,Dipsacus,sativus,,,(L.) Honckeny
2529,Dipterocome,,,,Fisch. et Mey.
2533,Dipterocome,pusilla,,,Fisch. et Mey.
2546,Doronicum,,,,L.
2550,Doronicum,orientale,,,Hoffm.
2568,Ecballium,,,,A. Rich.
2571,Ecballium,elaterium,,,(L.) A. Rich.
2575,Echinops,,,,L.
2577,Echinops,adenocaulos,,,Boiss.
2584,Echinops,descendens,,,Hand.-Mazz.
2586,Echinops,gaillardotii,,,Boiss.
2588,Echinops,polyceras,,,Boiss.
2590,Echinops,viscosus,,,DC.
2593,Echinops,viscosus,var.,macrolepis,Boiss.
2622,Echium,,,,L.
2626,Echium,angustifolium,,,Mill.
2638,Echium,glomeratum,,,Poir.
2640,Echium,italicum,,,L.
2642,Echium,judaeum,,,Lacaita
2646,Echium,pabotii,,,Moût.
2650,Echium,plantagineum,,,L.
2652,Echium,setosum,,,Vahl
2654,Eclipta,,,,L.
2662,Eclipta,prostrata,,,(L.) L.
2672,Eremostachys,,,,Bunge
2674,Eremostachys,laciniata,,,(L.) Bunge
2677,Eremostachys,macrophylla,,,Montb. et Auch.
2681,Erica,,,,L.
2683,Erica,manipuliflora,,,Salisb.
2691,Engeron,,,,L.
2702,Engeron,bonariensis,,,L.
2704,Engeron,canadense,,,L.
2712,Engeron,libanoticus,,,Vierh.
2716,Engeron,naudinii,,,(Bonnet) Humbert
2719,Engeron,viscosum,,,(L.) Aiton
2757,Eupatorium,,,,L.
